,sentiment,totalScores,positive,negative
2019-08-12 00:00:00,0.0052817982935900246,4571,0.73,0.27
2019-08-13 00:00:00,0.008518885332329128,5311,0.74,0.26
2019-08-14 00:00:00,-0.020948667248231075,10317,0.71,0.29
2019-08-15 00:00:00,0.003622454125227623,7139,0.74,0.26
2019-08-16 00:00:00,0.005751812937783271,4854,0.72,0.28
2019-08-17 00:00:00,0.01237254054054054,925,0.77,0.23
2019-08-18 00:00:00,-0.0030575757575757576,3036,0.75,0.25
2019-08-19 00:00:00,-0.025216321028618833,4822,0.7,0.3
2019-08-20 00:00:00,-0.03437389229720518,4401,0.7,0.3
2019-08-21 00:00:00,-0.01983417558096643,5422,0.72,0.28
2019-08-22 00:00:00,-0.028704558404558406,5616,0.71,0.29
2019-08-23 00:00:00,-0.024736423161880718,12676,0.75,0.25
2019-08-24 00:00:00,-0.02099071363220494,2186,0.76,0.24
2019-08-25 00:00:00,-0.004618365147783251,6496,0.74,0.26
2019-08-26 00:00:00,-0.02065570119475699,8621,0.73,0.27
2019-08-27 00:00:00,-0.032157461240310076,7224,0.71,0.29
2019-08-28 00:00:00,-0.017671875,6496,0.71,0.29
2019-08-29 00:00:00,-0.0011974449746036632,6497,0.73,0.27
2019-08-30 00:00:00,-0.02147783467446964,5468,0.72,0.28
2019-08-31 00:00:00,-3.759398496240601e-05,1197,0.78,0.22
2019-09-01 00:00:00,-0.036823534840793724,2167,0.74,0.26
2019-09-02 00:00:00,-0.03312598137059215,3006,0.73,0.27
2019-09-03 00:00:00,-0.029287887271369915,5358,0.71,0.29
2019-09-04 00:00:00,0.03015111607142857,5824,0.74,0.26
2019-09-05 00:00:00,0.02197324354657688,4455,0.74,0.26
2019-09-06 00:00:00,-0.00992950969213227,4385,0.74,0.26
2019-09-07 00:00:00,0.01064526198439242,897,0.79,0.21
2019-09-08 00:00:00,0.01283789224393132,1689,0.76,0.24
2019-09-09 00:00:00,-0.012876024242424242,4125,0.71,0.29
2019-09-10 00:00:00,0.013913773824650573,3935,0.74,0.26
2019-09-11 00:00:00,0.0349714127791289,4523,0.76,0.24
2019-09-12 00:00:00,0.01284984877126654,5290,0.76,0.24
2019-09-13 00:00:00,0.011014131038312048,3602,0.72,0.28
2019-09-14 00:00:00,0.027446619841966637,1139,0.8,0.2
2019-09-15 00:00:00,0.021087723521320493,2908,0.78,0.22
2019-09-16 00:00:00,0.015567445938047925,3422,0.75,0.25
2019-09-17 00:00:00,0.00876296943231441,3435,0.76,0.24
2019-09-18 00:00:00,0.006196212247622225,5993,0.76,0.24
2019-09-19 00:00:00,0.01292057511155181,4034,0.74,0.26
2019-09-20 00:00:00,-0.037629453681710216,4631,0.73,0.27
2019-09-21 00:00:00,-0.02030050314465409,795,0.76,0.24
2019-09-22 00:00:00,-0.0347415547024952,2084,0.72,0.28
2019-09-23 00:00:00,-0.011423852342640796,4226,0.71,0.29
2019-09-24 00:00:00,-0.00835509238051611,6549,0.75,0.25
2019-09-25 00:00:00,-0.00025171396977515664,5426,0.75,0.25
2019-09-26 00:00:00,-0.012901490284851914,5301,0.74,0.26
2019-09-27 00:00:00,-0.033049862475442046,5090,0.72,0.28
2019-09-28 00:00:00,-0.02114379310344828,1160,0.78,0.22
2019-09-29 00:00:00,-0.022828024369016535,2298,0.74,0.26
2019-09-30 00:00:00,-0.02413381773399015,4060,0.71,0.29
2019-10-01 00:00:00,-0.015127591792656587,5556,0.72,0.28
2019-10-02 00:00:00,-0.008065599464166108,7465,0.73,0.27
2019-10-03 00:00:00,-0.006702294567562266,5099,0.73,0.27
2019-10-04 00:00:00,-0.019189503717793533,5783,0.72,0.28
2019-10-05 00:00:00,-0.024047489539748952,956,0.76,0.24
2019-10-06 00:00:00,-0.03677409484956655,1961,0.75,0.25
2019-10-07 00:00:00,-0.028753978494623657,5115,0.72,0.28
2019-10-08 00:00:00,-0.015238375466224616,7239,0.74,0.26
2019-10-09 00:00:00,-0.024261132683019222,10559,0.74,0.26
2019-10-10 00:00:00,-0.00936134681093394,7024,0.75,0.25
2019-10-11 00:00:00,-0.0005265010351966874,9660,0.75,0.25
2019-10-12 00:00:00,0.002090007513148009,1331,0.76,0.24
2019-10-13 00:00:00,0.0004364476021314387,2815,0.75,0.25
2019-10-14 00:00:00,-0.012065175202156334,3710,0.74,0.26
2019-10-15 00:00:00,-0.008264477095937769,4628,0.73,0.27
2019-10-16 00:00:00,-0.0019719101123595504,3382,0.74,0.26
2019-10-17 00:00:00,0.008916773733047823,4203,0.75,0.25
