,sentiment,totalScores,positive,negative
2018-01-18 00:00:00,0.0251983451536643,423,0.76,0.24
2018-01-19 00:00:00,0.09148178506375228,549,0.81,0.19
2018-01-20 00:00:00,0.0434,129,0.84,0.16
2018-01-21 00:00:00,0.08956491228070175,114,0.91,0.09
2018-01-22 00:00:00,0.1510109215017065,586,0.88,0.12
2018-01-23 00:00:00,0.14999807692307693,676,0.86,0.14
2018-01-24 00:00:00,0.0878903890160183,874,0.79,0.21
2018-01-25 00:00:00,0.12729882659713168,767,0.83,0.17
2018-01-26 00:00:00,0.1750015060240964,996,0.86,0.14
2018-01-27 00:00:00,0.06793630363036304,303,0.85,0.15
2018-01-28 00:00:00,0.05131712062256809,257,0.84,0.16
2018-01-29 00:00:00,0.08807473684210528,95,0.87,0.13
2018-01-30 00:00:00,0.08423435635123615,1173,0.8,0.2
2018-01-31 00:00:00,0.11079044819985305,1361,0.83,0.17
2018-02-01 00:00:00,0.06645968895800933,3215,0.79,0.21
2018-02-02 00:00:00,0.08441100870455709,1953,0.78,0.22
2018-02-03 00:00:00,-0.02333515625,256,0.7,0.3
2018-02-04 00:00:00,0.04240054644808743,183,0.83,0.17
2018-02-05 00:00:00,0.029633483754512635,1108,0.74,0.26
2018-02-06 00:00:00,0.07418005952380952,1008,0.77,0.23
2018-02-07 00:00:00,0.07762970550576184,781,0.79,0.21
2018-02-08 00:00:00,0.04550929965556831,871,0.75,0.25
2018-02-09 00:00:00,0.03201987055016181,1545,0.73,0.27
2018-02-10 00:00:00,0.07375483870967742,155,0.88,0.12
2018-02-11 00:00:00,0.06760479452054795,146,0.87,0.13
2018-02-12 00:00:00,0.1498513719512195,656,0.85,0.15
2018-02-13 00:00:00,0.08305358208955224,670,0.8,0.2
2018-02-14 00:00:00,0.10838251572327044,795,0.84,0.16
2018-02-15 00:00:00,0.12359453883495145,824,0.81,0.19
2018-02-16 00:00:00,0.14091244377811096,667,0.81,0.19
2018-02-17 00:00:00,0.0372496062992126,127,0.82,0.18
2018-02-18 00:00:00,0.05271612903225806,93,0.87,0.13
2018-02-19 00:00:00,0.05755045045045045,111,0.87,0.13
2018-02-20 00:00:00,0.06899460946094609,909,0.78,0.22
2018-02-21 00:00:00,0.08024761904761905,1113,0.79,0.21
2018-02-22 00:00:00,0.03649116517285531,781,0.76,0.24
2018-02-23 00:00:00,0.1145839240506329,790,0.81,0.19
2018-02-24 00:00:00,0.09192074074074075,135,0.84,0.16
2018-02-25 00:00:00,0.06264695652173913,115,0.78,0.22
2018-02-26 00:00:00,0.117314696485623,626,0.81,0.19
2018-02-27 00:00:00,0.07795288303130148,607,0.79,0.21
2018-02-28 00:00:00,0.08621128798842258,691,0.8,0.2
2018-03-01 00:00:00,0.05999590643274854,855,0.76,0.24
2018-03-02 00:00:00,0.06887916102841678,739,0.79,0.21
2018-03-03 00:00:00,0.08554525547445255,137,0.84,0.16
2018-03-04 00:00:00,0.09379815950920245,163,0.88,0.12
2018-03-05 00:00:00,0.07890267459138188,673,0.82,0.18
2018-03-06 00:00:00,0.0780021850899743,778,0.8,0.2
2018-03-07 00:00:00,0.04413680823680824,777,0.75,0.25
2018-03-08 00:00:00,0.051053516295025726,583,0.8,0.2
