Date,Open,High,Low,Close,Volume,Volatility,sentiment,RSI
2019-05-22,358.01,370.46,357.3,359.74,5864352,0.012893141159593462,0.04145805084745763,48.944995432273736
2019-05-23,355.5,357.42,347.7,352.23,5169430,0.021482410719598808,0.08270597826086956,44.4579161896806
2019-05-24,355.51,359.44,353.791,354.39,3612717,0.005142147966461034,0.09384555555555554,45.99152934123204
2019-05-28,354.39,361.2,353.64,354.61,3703586,0.0010354704714112984,0.025638211382113824,46.15460750577728
2019-05-29,353.6,353.8476,345.9,349.21,5164094,0.028810531033383883,0.059801197604790426,42.743031740274006
2019-05-30,350.55,354.21,348.3,351.83,3721735,0.006054078115709074,0.06681217391304348,44.87216625680064
2019-05-31,347.22,349.34,342.92,343.25,4504506,0.02272638086025896,-0.02074179104477612,39.669752145620926
2019-06-03,343.56,347.66,332.65,336.63,7355610,0.0647805354210289,-0.030933774834437086,36.183975553624784
2019-06-04,345.0,353.61,343.25,353.4,7322078,0.07816390371423118,0.056290773809523804,48.52373850814566
2019-06-05,354.38,357.88,348.71,355.8,4660793,0.008410866958403297,0.027993212669683257,50.013419787227186
2019-06-06,354.84,358.21,352.09,357.28,3405233,0.010559157402693543,0.04930878378378378,50.95597675505188
2019-06-07,357.39,365.15,355.69,360.8,4235419,0.01835453403338948,-0.026135714285714283,53.21552477926003
2019-06-10,363.65,367.1,349.285,352.01,7366867,0.10897538539852478,-0.005593600000000001,47.34904466949341
2019-06-11,355.0,357.58,348.5,351.27,5032305,0.023854394154338588,0.0626806324110672,46.8804914385182
2019-06-12,351.82,353.61,343.23,345.54,4294097,0.034270788623164766,0.03917725631768953,43.306842992112884
2019-06-13,347.23,348.5,339.25,343.57,11773444,0.054761736583575436,0.06654230769230769,42.11810862327159
2019-06-14,341.63,343.4,336.155,339.73,9348337,0.022572546946969647,0.03950691244239631,39.82345613442254
2019-06-17,342.69,351.77,342.06,350.61,4985978,0.050184331521883487,0.11610997229916895,48.40114826828239
2019-06-18,355.56,361.5,353.75,356.99,4972707,0.00903694235792492,0.04169084249084249,52.66229850913054
2019-06-19,361.72,364.74,356.12,363.49,5218969,0.01173952669184198,0.08058366533864543,56.59510751731024
2019-06-20,365.91,370.12,361.215,365.07,5257914,0.005612874973931236,-0.012542016806722688,57.51899458866231
2019-06-21,365.0,371.45,365.0,368.88,6256562,0.03085034905701275,0.04110357142857144,59.74415694041168
2019-06-24,370.27,375.0,370.2,371.04,4224559,0.004133945140553188,0.04928054298642534,60.99164949328366
2019-06-25,370.75,370.9994,358.29,360.41,4985746,0.06551538421544635,-0.0722971119133574,52.38761982337895
2019-06-26,361.65,366.79,361.6,362.09,3085663,0.0017254158111765128,0.015480769230769232,53.50398919954631
2019-06-27,363.2,370.85,363.2,370.02,3854010,0.03340333398420453,0.04098148148148148,58.45562649096691
2019-06-28,371.4086,371.5448,364.87,367.67,3511983,0.016686068060114027,0.0526673076923077,56.53420014242224
2019-07-01,373.21,376.66,372.0,374.6,4547169,0.008032458672784605,0.13369254658385096,60.64261005110978
2019-07-02,374.89,376.0,370.31,375.69,3351491,0.003407380616516329,0.08147727272727273,61.26281059934004
2019-07-03,376.69,381.99,375.84,381.915,3514684,0.023338083167396724,0.2385615789473685,64.68542074641526
2019-07-05,378.29,381.4,375.555,380.55,3550068,0.010196185195097927,0.1020905472636816,63.36337761251406
2019-07-08,378.13,378.25,375.36,376.0413,2744441,0.0072848828057237285,0.1349391959798995,59.06898177336605
2019-07-09,379.06,384.76,377.5,379.81,6510059,0.006204957225281606,0.07699175475687102,61.42252645579902
2019-07-10,382.77,384.3399,362.68,380.99,5343466,0.01208747688815069,0.1034003086419753,62.156261157078355
2019-07-11,381.1,384.54,378.8,379.42,4017198,0.008576796851194545,0.19471948529411764,60.50728168951473
2019-07-12,378.68,379.7375,372.7917,373.24,6258330,0.043266320533035536,0.11127248062015503,54.39045009313993
2019-07-15,372.94,373.68,362.3,366.62,7476719,0.06005106874114768,0.07199780487804879,48.70990089937544
2019-07-16,370.09,371.34,364.92,365.98,5556296,0.029021496269126906,0.16210547112462007,48.1859450162187
2019-07-17,366.25,366.5,361.75,362.65,7889259,0.0360936928903421,-0.006438943418013857,45.446712543954135
2019-07-18,323.76,329.85,320.3,325.21,29178463,0.05376789293429709,0.03868900047824008,26.91844611878246
2019-07-19,323.4,325.85,314.23,315.1,15706969,0.16567732847597572,-0.03337874762808349,24.065302474524415
2019-07-22,312.0,314.24,305.81,310.62,16653632,0.029206576551497974,-0.013848216340621404,22.90666630521342
2019-07-23,311.44,313.5,306.0,307.31,8633742,0.045314972658159536,-0.02499875,22.061531330737154
2019-07-24,310.51,319.99,307.25,317.82,11158651,0.10366249936054203,0.08049151291512914,30.792755686132978
2019-07-25,318.86,327.69,316.3,326.61,10227817,0.10073427275048502,0.1103761329305136,37.13579694116796
2019-07-26,328.79,336.0,327.5,335.87,10159258,0.09140876710347208,0.088446875,43.05679207104492
2019-07-29,335.98,336.4,328.77,332.7,5167084,0.021538327165013253,-0.012411881188118812,41.6118794642297
2019-07-30,329.2,329.65,323.23,325.99,5610886,0.022889119229024733,0.02278689024390244,38.6548740836299
2019-07-31,325.16,331.77,318.53,322.99,5820788,0.016052183656016846,-0.08428440677966102,37.376047732573475
2019-08-01,324.25,328.58,318.735,319.57,6167818,0.036683435960738496,-0.02074728434504792,35.91723435635229
2019-08-02,317.49,319.41,311.8,319.06,4925060,0.009826611404935879,0.035422222222222216,35.69350431511194
2019-08-05,310.96,313.4179,304.677,307.61,7863381,0.033477015229540816,-0.0018308724832214766,31.021490961954857
2019-08-06,310.58,311.88,305.3,310.11,5433740,0.0032455575611937955,0.07377119113573408,33.08109124512039
2019-08-07,302.56,305.0,296.8126,304.23,8599509,0.018250834652593115,0.03723310023310023,30.755098962046922
2019-08-08,311.03,316.3648,306.63,315.83,5213760,0.03180422939491938,0.07583783783783782,39.754586473340545
2019-08-09,313.74,316.64,305.68,309.0,4837265,0.029138743849489526,0.16175777777777778,36.72786111716195
2019-08-12,305.46,312.89,303.24,310.82,5667308,0.0386041691178898,0.11014239130434783,38.08070336331886
2019-08-13,309.77,316.43,308.16,312.33,4560893,0.01483824210987151,0.04510512820512821,39.24143649526848
2019-08-14,308.01,308.41,298.005,299.11,6652428,0.07524242663852222,0.028289215686274512,33.347460938190494
2019-08-15,299.5,300.63,288.0,295.91,9178448,0.041875143122717486,0.02795822102425876,32.0909974970431
2019-08-16,298.86,303.55,296.27,302.75,6466722,0.031968804566879845,0.029695555555555555,37.510793046246
2019-08-19,306.25,311.75,304.75,309.41,4461351,0.017916207335021576,0.037352021563342316,42.33648377231367
2019-08-20,304.57,305.0,297.6811,299.03,6612010,0.04655173484524272,-0.006675125628140703,37.47861466205041
2019-08-21,301.61,302.88,296.2,297.81,5230571,0.02525953214073471,0.026622666666666663,36.94207787538942
2019-08-22,298.65,300.33,293.15,296.86,4565567,0.010385809574596377,0.06938721804511279,36.503846904727546
2019-08-23,295.0,299.01,290.32,291.54,5548652,0.024398110304926925,-0.030197986577181205,34.066685254457575
2019-08-26,295.24,296.95,292.5,295.11,4093942,0.0006763595740195867,0.01737292576419214,37.101467145614436
2019-08-27,294.94,296.77,287.1968,291.0,5496267,0.027520520768835585,-0.003190588235294118,35.09851922447941
2019-08-28,289.2,292.82,287.75,291.81,3399172,0.011274732637228807,0.02596206896551724,35.83373231759116
2019-08-29,295.0,299.93,294.99,296.78,4016448,0.0090856238951383,0.033522155688622754,40.30233770788456
2019-08-30,298.93,298.94,290.85,293.72,3804863,0.025192388859460856,0.04336190476190476,38.52348293819446
2019-09-03,290.82,293.9,288.06,289.21,3217476,0.006583150687252089,0.023252941176470587,36.001345299170815
2019-09-04,291.25,292.38,286.51,291.52,4293993,0.0014733899401889392,0.05357469387755102,38.23197298889923
2019-09-05,285.32,293.97,282.785,293.25,8279115,0.08343527592091476,0.03129685185185185,39.920853049399305
2019-09-06,293.09,293.35,287.03,290.11,4555028,0.01725042975737082,0.033678776978417264,37.89554333644572
2019-09-09,297.78,301.55,290.6,294.34,6588696,0.02880384839631938,0.01460735930735931,42.1531610774301
2019-09-10,291.16,297.17,282.6629,288.24,11297560,0.041923748981108434,-0.05634749403341289,38.09705371872447
2019-09-11,285.7,292.65,284.61,288.24,6480157,0.020917599748368515,-0.04326330532212885,38.09705371872446
2019-09-12,288.1,292.73,287.57,288.86,4546044,0.004390761334897947,-0.023669154228855724,38.79131597770989
2019-09-13,290.61,296.62,290.04,294.07,6104903,0.026844014869715976,0.0055440217391304345,44.431244794862096
2019-09-16,294.23,297.43,289.78,294.33,4937537,0.0006274844489783133,0.056833333333333326,44.70506546978344
2019-09-17,294.5,299.15,291.79,298.55,4470773,0.023010722058939496,0.05465803921568626,49.08999384836801
2019-09-18,295.08,296.05,287.45,291.67,7067200,0.03062628819504468,-0.00435565749235474,43.09044242855185
2019-09-19,291.56,293.81,283.4,286.58,7827168,0.04953664645697045,-0.00811284584980237,39.2668957294484
2019-09-20,280.26,282.5,266.0,270.75,22337245,0.2699620570107669,-0.0370171588188348,30.27075062482818
2019-09-23,268.17,273.39,261.89,265.87,12587211,0.03679170822330332,-0.0827937165775401,28.13111225740524
2019-09-24,262.5,265.0,252.28,254.58,15293889,0.15393441283432946,-0.11636325757575758,23.918842722420674
2019-09-25,255.61,266.6,253.7,264.75,10893078,0.1265288069843373,0.0307118800461361,33.568560404030926
2019-09-26,266.42,268.05,260.2,263.34,7176045,0.02808849525466673,0.027281565656565657,32.944673952723505
2019-09-27,266.175,267.44,260.39,263.09,6752140,0.026472149745916784,0.005169896193771626,32.82817416186848
2019-09-30,264.0,268.88,262.78,267.63,5254867,0.02424158195865693,0.03714963235294117,37.17313483560021
2019-10-01,267.35,272.2,264.04,269.58,7969234,0.02258468544894755,0.08144330708661418,38.998307775877606
2019-10-02,263.61,269.35,262.19,268.06,6859813,0.03879402951873219,0.017896782178217822,38.069909896593764
2019-10-03,267.78,268.843,257.01,268.28,8531962,0.005421400866743615,0.025662077294686,38.29886236235663
2019-10-04,268.2,275.4846,266.47,272.73,17570819,0.10115394177861103,0.12670406852248395,42.897417290164455
2019-10-07,271.99,276.68,271.29,274.47,11911609,0.03754176735553688,0.01451760299625468,44.63496875447702
2019-10-08,273.03,275.53,270.6427,270.73,11067212,0.032348836827271035,-0.019956401384083045,41.69796928782388
2019-10-09,270.02,271.0,264.57,267.52,12593464,0.04001085368459477,-8.081534772182255e-05,39.307297627726385
2019-10-10,265.97,280.53,265.0337,280.5,20327729,0.3753592136279458,0.11334949494949495,51.43286025389695
2019-10-11,284.76,287.87,282.3438,282.77,16683073,0.04219118570384476,0.042931890660592255,53.19403510225691
2019-10-14,283.93,286.93,282.0,285.47,10360632,0.020276807264123085,0.008120567375886525,55.27165166568285
2019-10-15,283.2,285.87,279.4,284.27,13772252,0.0187275662631638,0.02403903846153846,54.12180836084388
2019-10-16,283.23,288.17,280.7431,286.6207,22951678,0.0989000275695331,0.02832779696132597,56.05061913853869
2019-10-17,304.49,308.75,288.3001,293.3091,70376981,1.0,-0.018436935166994104,61.066185720573216
2019-10-18,289.36,290.9,273.36,275.28,45593076,0.8158196325192794,-0.03932855993563958,45.87005574669485
2019-10-21,274.235,279.9399,269.0,278.05,11598665,0.05623350470307355,-0.048019382504288166,48.01066251008678
2019-10-22,271.159,275.41,265.8,266.69,11029467,0.0626408272259724,-0.07532508324084351,40.87211756797712
2019-10-23,268.06,273.92,266.63,271.26,6789676,0.027611603784495568,-0.0494257785467128,44.450406741986384
2019-10-24,271.81,274.02,268.8,271.49,4397833,0.001788468585340116,-0.08122081784386617,44.632016064501926
2019-10-25,270.68,277.77,270.18,276.88,4248928,0.033478320705125804,-0.01256568047337278,48.85218604909028
2019-10-28,278.05,285.75,277.35,281.93,5916130,0.02917172011827978,0.0945225806451613,52.50483496982717
