Open,High,Low,Close,Volume,Volatility,sentiment,RSI
1205.93,1207.1234,1197.91,1198.85,1058863,0.05922765119760243,0.1079671052631579,71.08405712738708
1199.02,1204.7,1191.23,1192.749,1189050,0.05890668514828885,-0.05985945945945945,68.17027588629209
1198.0,1201.725,1187.01,1191.08,2233836,0.1227656175360919,-0.058035,67.35687126266204
1189.69,1194.95,1181.4762,1188.24,1100687,0.012135163226946641,0.02407160493827161,65.9155975508908
1192.38,1203.405,1189.4564,1202.99,1258816,0.10598920770622207,0.10023033707865167,69.55881038632134
1201.4,1229.99,1199.59,1226.52,1764600,0.35315897871827595,0.06807272727272727,74.28149706603159
1220.0,1236.44,1216.575,1236.43,1304588,0.1704605077145898,0.04130423728813559,75.9722386490321
1230.25,1233.63,1206.0001,1208.17,1437200,0.2526542942583841,2.2666666666666664e-05,63.210643883413475
1199.56,1209.44,1190.0034,1197.13,1213515,0.02293189398441181,-0.055852857142857135,59.03843124527482
1205.19,1207.65,1181.76,1189.84,1381673,0.1686592483518148,0.044104285714285714,56.3915562080982
1191.92,1191.92,1164.23,1178.02,1299501,0.14355484355678275,-0.010929126213592232,52.29749660420608
1177.06,1177.25,1163.43,1172.28,1030973,0.03872748567265268,0.03185277777777778,50.38449179013655
1180.18,1183.97,1166.38,1176.42,1034827,0.030450630366338906,0.010443661971830987,51.755242324904046
1186.2,1199.25,1186.2,1199.12,779923,0.07981685021681774,0.10174698795180724,58.52184410702518
1200.05,1205.81,1191.24,1205.16,777991,0.031125678699499275,0.10596478873239436,60.12443653763815
1212.7,1220.6,1205.075,1210.48,967635,0.016541767009455567,0.1316044117647059,61.53417351952971
1211.29,1220.55,1209.04,1219.46,879729,0.05675869114600264,0.030674117647058824,63.85694008133254
1218.75,1220.39,1210.03,1211.78,860041,0.047238443821301185,-0.00443125,60.49258220101261
1211.11,1213.95,1204.695,1208.22,868731,0.01943465518190005,-0.01042948717948718,58.94235612913011
1201.89,1207.15,1198.38,1203.08,865489,0.007617541595920223,0.0291,56.683706041124026
1205.09,1208.9377,1200.6609,1206.45,705045,0.007050343468677259,0.10538414634146342,57.82482218685999
1209.97,1212.74,1204.54,1209.57,790515,0.0019214679318465505,0.0877462962962963,58.90422878732724
1215.0,1223.05,1213.29,1222.99,992784,0.06270402239331427,0.1946298245614035,63.259864105328845
1224.09,1229.295,1214.56,1226.61,1055295,0.02062148014724963,0.15519508196721313,64.35726702375378
1230.69,1235.98,1225.04,1232.13,1009593,0.011000441277728786,0.07804880952380952,66.0238052523522
1237.0,1245.095,1232.9,1240.26,1363649,0.03487632946875003,-0.02530428571428572,68.36957540638237
1245.0,1245.94,1239.41,1241.47,1122870,0.03103148253277865,0.07776078431372549,68.71576638578945
1237.05,1254.3405,1233.37,1254.26,840734,0.1148717463493587,0.09437849462365593,72.18163563213126
1256.0,1274.43,1251.975,1270.26,1370300,0.15534572774360314,0.03720264900662252,75.79437822029689
1270.59,1274.0,1259.81,1260.06,836189,0.06966903735475019,0.06396595744680851,69.58975246033572
1270.59,1272.8,1258.0,1267.34,1352918,0.03448916502820277,0.06953770491803278,71.38992247170745
1273.38,1278.91,1265.0,1277.17,1118089,0.03321682320972638,0.2121845070422535,73.65747708498735
1280.51,1296.975,1271.71,1296.0,2296071,0.28324265398998144,0.07642413381123059,77.35925910130248
1190.77,1200.9777,1183.0,1199.49,5980943,0.4156249367806752,0.03779930151338766,43.56697445623367
1198.0,1199.25,1171.675,1173.37,3497083,0.6868057522728683,0.005880555555555556,38.64656049982539
1172.6,1179.38,1158.33,1166.25,2018931,0.101712910864931,0.09392150943396227,37.40638959631329
1177.09,1191.4,1173.545,1189.55,1797188,0.17811071566972786,0.14788709677419354,43.765996918695926
1172.0,1195.43,1171.155,1193.38,1456195,0.2478664229375028,0.09749826589595376,44.75953644385337
1185.81,1194.77,1165.0,1179.55,1564069,0.0775380787278297,0.013060714285714285,41.88199492900531
1177.29,1184.27,1167.63,1169.57,1085504,0.0662773805469622,-0.02618173076923077,39.889104816151224
1162.6,1174.07,1154.64,1167.69,1272156,0.05107549858472474,-0.0351219512195122,39.5077316961737
1168.0,1176.28,1146.37,1167.67,1456810,0.003234632204643825,-0.010324,39.50340469366106
1145.24,1151.97,1125.5,1136.68,1857526,0.12629532669040466,-0.05756868686868687,33.39933913685331
1141.34,1144.865,1123.53,1124.82,1662207,0.21854679883913566,0.04931288343558282,31.39967260775033
1122.55,1178.3,1121.4,1170.06,2530623,0.95892361336522,0.1381269102990033,44.941234622597854
1171.84,1194.16,1168.45,1184.75,1549838,0.15908016839653438,0.17075731707317074,48.49643243814146
1175.83,1186.29,1166.42,1168.29,1112390,0.06633587726744225,0.08731707317073173,44.990894676325375
1153.0,1153.0,1138.135,1144.23,1141308,0.07927947386726601,-0.02240860215053764,40.39449755332992
1154.48,1158.0,1143.31,1154.69,883437,0.0008785087364697093,0.03558928571428571,43.11537247784348
1152.82,1163.78,1151.0,1155.75,770596,0.017417228852191914,0.087061,43.397352173013424
1145.83,1150.05,1133.16,1144.9,1068393,0.007327629234083328,0.04626363636363636,41.14887029889322
1152.0,1154.36,1136.71,1139.1,816746,0.0834833559454118,-0.02250322580645161,39.95707202080389
1141.48,1156.49,1138.67,1138.79,820763,0.017018240360226117,0.10145662650602408,39.89057021092531
1133.87,1135.0,1111.95,1120.44,1558887,0.16648187302985792,0.10870882352941176,36.06429412869836
1120.15,1126.795,1115.9,1121.18,809204,0.006049707429329925,0.11810483870967745,36.32952525001187
1105.64,1113.4027,1103.35,1106.33,1293148,0.006518912145265172,0.05493583333333333,33.34048130946797
1067.44,1067.44,1027.16,1039.04,4414677,1.0,-0.023511528150134048,23.78920728007869
1044.49,1058.437,1036.03,1054.59,2692428,0.21642282516223008,0.1081523076923077,28.861002710997326
1055.0,1056.81,1033.0,1045.0,2012699,0.16002653799590896,0.02329503546099291,27.639354825813058
1046.21,1050.0,1035.51,1047.77,1321246,0.01584739367018211,0.03666159420289855,28.57973173019711
1054.28,1073.43,1051.15,1069.0,1857229,0.21757914184509808,0.1230121212121212,35.49843470506801
1075.95,1094.84,1075.2817,1082.65,1261125,0.06683161720517909,0.03979777777777778,39.55300877282401
1096.99,1104.005,1079.57,1080.71,1424494,0.1844777630112304,0.06510373831775701,39.17608822355856
1081.12,1082.52,1069.6,1079.28,1011776,0.014255424654332204,0.008542391304347826,38.88195950943397
1084.71,1096.59,1082.57,1091.24,1758932,0.09106350018886056,0.13458636363636364,42.7531769947551
1088.46,1094.76,1081.4752,1086.3,1936988,0.03278854996526606,0.040475,41.58162895878499
