,sentiment,totalScores,positive,negative
2018-08-03 00:00:00,0.0036119825708061,459,0.74,0.26
2018-08-04 00:00:00,0.10543370786516854,89,0.89,0.11
2018-08-05 00:00:00,-0.04221066666666667,75,0.77,0.23
2018-08-06 00:00:00,0.14048619957537153,471,0.82,0.18
2018-08-07 00:00:00,0.08773780487804878,410,0.85,0.15
2018-08-08 00:00:00,0.040148743718592964,398,0.8,0.2
2018-08-09 00:00:00,0.11136426426426427,333,0.84,0.16
2018-08-10 00:00:00,-0.06257642045454546,352,0.7,0.3
2018-08-11 00:00:00,0.02824074074074074,54,0.87,0.13
2018-08-12 00:00:00,0.12949636363636363,55,0.85,0.15
2018-08-13 00:00:00,-0.009010660980810235,469,0.71,0.29
2018-08-14 00:00:00,0.018143939393939396,462,0.73,0.27
2018-08-15 00:00:00,-0.03748340807174888,669,0.67,0.33
2018-08-16 00:00:00,-0.02787230769230769,585,0.68,0.32
2018-08-17 00:00:00,-0.030759969788519637,662,0.66,0.34
2018-08-18 00:00:00,0.061544166666666664,120,0.76,0.24
2018-08-19 00:00:00,0.01882077922077922,77,0.68,0.32
2018-08-20 00:00:00,0.07462052522460262,1447,0.77,0.23
2018-08-21 00:00:00,0.06324194792671167,1037,0.76,0.24
2018-08-22 00:00:00,0.14084869565217392,575,0.8,0.2
2018-08-23 00:00:00,0.007209254498714652,778,0.71,0.29
2018-08-24 00:00:00,0.1244423197492163,1276,0.78,0.22
2018-08-25 00:00:00,0.14503969465648855,131,0.86,0.14
2018-08-26 00:00:00,0.11043518518518518,108,0.82,0.18
2018-08-27 00:00:00,0.08440075187969925,931,0.76,0.24
